home_score,away_score,home_team,away_team,date,win_score,lost_score
21,4,UMass,Springfield,1906-11-17T00:00:00.000Z,21,4
25,6,Iowa State,Grinnell,1906-11-17T00:00:00.000Z,25,6
17,18,Virginia,Carlisle,1906-11-29T00:00:00.000Z,18,17
25,9,Indiana,DePauw,1907-10-05T00:00:00.000Z,25,9
65,10,Vanderbilt,Rose-Hulman,1907-10-19T00:00:00.000Z,65,10
17,13,Colorado,Colorado State,1907-10-19T00:00:00.000Z,17,13
4,54,Alabama,Sewanee Univ. of the South,1907-10-21T00:00:00.000Z,54,4
45,10,Texas,Haskell,1907-10-25T00:00:00.000Z,45,10
4,25,Drake,Iowa,1907-10-26T00:00:00.000Z,25,4
29,10,Kansas,Kansas State,1907-10-26T00:00:00.000Z,29,10
25,12,Iowa,Illinois,1907-11-09T00:00:00.000Z,25,12
27,11,Texas,Baylor,1907-11-09T00:00:00.000Z,27,11
11,8,Wisconsin,Indiana,1907-11-09T00:00:00.000Z,11,8
70,6,Missouri,Tarkio,1907-11-09T00:00:00.000Z,70,6
11,4,Tennessee,Mississippi State,1907-11-16T00:00:00.000Z,11,4
13,11,North Carolina,Richmond,1907-11-16T00:00:00.000Z,13,11
2,9,Pittsburgh,Washington & Jefferson,1907-11-16T00:00:00.000Z,9,2
85,0,Nebraska,Doane,1907-11-23T00:00:00.000Z,85,0
20,14,Iowa State,Iowa,1907-11-23T00:00:00.000Z,20,14
17,17,Minnesota,Wisconsin,1907-11-23T00:00:00.000Z,17,17
13,5,Washington & Jefferson,West Virginia,1907-11-28T00:00:00.000Z,13,5
8,13,Drake,Iowa State,1907-11-30T00:00:00.000Z,13,8
57,6,Missouri,Central Missouri State,1908-10-03T00:00:00.000Z,57,6
15,10,Minnesota,Iowa State,1908-10-10T00:00:00.000Z,15,10
18,9,Virginia,St. John's (Maryland),1908-10-10T00:00:00.000Z,18,9
81,5,LSU,Jackson Br.-New Orleans,1908-10-11T00:00:00.000Z,81,5
23,12,Syracuse,Rochester,1908-10-17T00:00:00.000Z,23,12
44,4,Northwestern,Beloit College,1908-10-24T00:00:00.000Z,44,4
24,15,Wisconsin,Wisconsin Freshmen,1908-10-24T00:00:00.000Z,24,15
28,4,Purdue,DePauw,1908-10-31T00:00:00.000Z,28,4
9,11,Texas,Southwestern University,1908-11-05T00:00:00.000Z,11,9
